Date,Depth,Avg Ground Temp,Air Temp,Surface Temp,Soil Moisture
2011-07-01,0.59,272.438811308651,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.6,272.7523280645161,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.61,272.1458568548387,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.62,272.1252217741935,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.64,272.5910645161291,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.644,272.0756975806452,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.65,272.5853733410138,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.68,272.0014112903226,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.69,272.437314938556,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.7,272.4856635944701,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.71,272.2612235138248,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.72,272.0317798387097,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.73,272.1302161290322,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.74,272.2522419354839,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.8,272.1005322580645,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.84,272.0115337941628,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.85,272.2221612903226,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.89,271.9002857142857,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.91,271.8697096774193,283.5126634408603,276.6142661290323,0.6933548387096774
2011-07-01,0.92,271.8335368663594,283.5126634408603,276.6142661290323,0.6933548387096774
2011-08-01,-0.14,284.63055,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,-0.12,284.5864,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,-0.1,283.4616666666667,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,-0.06,283.852375,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,-0.05,282.1858095238095,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,-0.04,284.7700666666667,281.8774282506764,273.4964724170173,0.6165806451612903
2011-08-01,-0.02,279.8014380952381,281.8774282506764,273.4964724170173,0.6165806451612903
